Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Monfi,"Holladay Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108908828/monfi,3.6,-1,Sport,5.10c/d,1,40,30.37873,-98.11307
"Socks On Chicks","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107455458/socks-on-chicks,2.3,-1,Sport,5.10c/d,1,30,30.3623,-98.125
"Power Snatch","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105899193/power-snatch,2.4,-1,Sport,5.10c/d,1,,30.3636,-98.1255
"O'l Butter Water","Elm Hollow Point > Elm Hollow > Carrion Wall and Indian Head area > Hamm Creek Park > Texas",https://www.mountainproject.com/route/123283461/ol-butter-water,3.0,-1,Sport,5.10c/d,1,30,32.17547,-97.46036
"Frosted Flake","Whiskey Wall > Pecos River Boat Ramp > Texas",https://www.mountainproject.com/route/112474597/frosted-flake,2.8,-1,Sport,5.10c/d,1,40,29.70427,-101.36027
"Buddha's Gut","Oblivion Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/110734211/buddhas-gut,2.5,-1,"Sport, TR","5.10c/d PG13",1,30,30.3624,-98.1249
"Sunday Mass","War on Rugs Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112333788/sunday-mass,2.1,-1,Sport,5.10c/d,1,40,30.3612,-98.12542
"Waste of Bolts (Bluebeard)","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108479630/waste-of-bolts-bluebeard,2.3,-1,Sport,"5.10c/d X",1,25,30.3664,-98.1287
"Power Squat","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108479560/power-squat,1.9,-1,Sport,5.10c/d,1,25,30.3664,-98.1287
"Sunday Mass","Crankenstein > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107988525/sunday-mass,2.0,-1,Sport,5.10c/d,1,35,30.3612,-98.1254
