Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Thunderstruck,"5. White Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106820631/thunderstruck,3.9,-1,Sport,5.12b,1,70,38.04953,-81.07039
"Fall Line","9a) Fern Creek Falls > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106493668/fall-line,3.9,-1,Sport,5.12b,1,80,38.05824,-81.06217
"Ly'n and Stealin'","Circus Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107074712/lyn-and-stealin,4.0,-1,Sport,5.12b,1,80,38.24291,-80.8361
"Animal Logic","DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105992257/animal-logic,2.8,-1,"Sport, Boulder","5.12b V5",1,20,38.24156,-80.84428
Blackhappy,"M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106418976/blackhappy,3.9,-1,Sport,5.12b,1,90,38.05596,-81.05393
Lamda,"1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107361540/lamda,3.4,-1,Sport,5.12b,1,90,38.14319,-80.91967
"Jesus and Tequila","I) Honeymooner's Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106396709/jesus-and-tequila,3.9,-1,Sport,5.12b,1,90,38.05426,-81.05828
"Go Cat Go!","2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106936725/go-cat-go,3.2,-1,Sport,5.12b,1,50,38.15323,-80.93233
"Gift of Grace, The","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107318908/gift-of-grace-the,3.8,-1,Sport,5.12b,1,80,38.05317,-81.05956
"The Prow","4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106608581/the-prow,3.1,-1,Sport,5.12b,1,100,38.14336,-80.91556
"Intergalactic Orcas","Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107257241/intergalactic-orcas,3.6,-1,Sport,5.12b,1,50,38.1151,-81.14094
Harlequin,"I) Honeymooner's Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/108131218/harlequin,3.6,-1,Sport,5.12b,1,90,38.05426,-81.05828
